Date,Open,High,Low,Closed,% Chg.,Change,Prev. Closed,Volume,Turnover
1994/06/27,1405.660000,1405.660000,1395.770000,1395.770000,-0.710000,-9.890000,1405.660000,479194,60592746
1994/06/28,1395.770000,1395.770000,1382.550000,1382.550000,-0.960000,-13.220000,1395.770000,477980,78350448
1994/06/29,1382.550000,1382.550000,1379.900000,1379.900000,-0.190000,-2.650000,1382.550000,223343,34206254
1994/06/30,1379.900000,1380.130000,1379.900000,1380.130000,0.020000,0.230000,1379.900000,249656,33066338
1994/07/02,1380.130000,1380.130000,1372.530000,1372.530000,-0.550000,-7.600000,1380.130000,277007,46516440
1994/07/03,1372.530000,1372.530000,1369.160000,1369.160000,-0.250000,-3.370000,1372.530000,329644,47570317
1994/07/04,1369.160000,1369.160000,1357.660000,1357.660000,-0.850000,-11.500000,1369.160000,310699,48807066
1994/07/05,1357.660000,1357.660000,1350.260000,1350.260000,-0.550000,-7.400000,1357.660000,293867,60992346
1994/07/06,1350.260000,1351.530000,1350.260000,1351.530000,0.090000,1.270000,1350.260000,182370,38127139
1994/07/07,1351.530000,1351.530000,1349.340000,1349.340000,-0.160000,-2.190000,1351.530000,94828,15892756
1994/07/09,1349.340000,1349.340000,1345.770000,1345.770000,-0.270000,-3.570000,1349.340000,253411,49948476
1994/07/10,1345.770000,1345.770000,1335.010000,1335.010000,-0.810000,-10.760000,1345.770000,295646,67175002
1994/07/11,1335.010000,1341.060000,1335.010000,1341.060000,0.450000,6.050000,1335.010000,331160,51382727
1994/07/12,1341.060000,1352.250000,1341.060000,1352.250000,0.830000,11.190000,1341.060000,313365,58959336
1994/07/13,1352.250000,1363.000000,1352.250000,1363.000000,0.790000,10.750000,1352.250000,349827,70601118
1994/07/14,1363.000000,1363.000000,1357.530000,1357.530000,-0.400000,-5.470000,1363.000000,107102,22244933
1994/07/16,1357.530000,1361.220000,1357.530000,1361.220000,0.270000,3.690000,1357.530000,169162,30286758
1994/07/17,1361.220000,1371.890000,1361.220000,1371.890000,0.780000,10.670000,1361.220000,343171,61087314
1994/07/18,1371.890000,1371.890000,1371.540000,1371.540000,-0.030000,-0.350000,1371.890000,374041,63916795
1994/07/19,1371.540000,1371.540000,1366.850000,1366.850000,-0.340000,-4.690000,1371.540000,291053,54404745
1994/07/20,1366.850000,1366.850000,1365.960000,1365.960000,-0.070000,-0.890000,1366.850000,213815,39489632
1994/07/21,1365.960000,1368.360000,1365.960000,1368.360000,0.180000,2.400000,1365.960000,108777,17589450
1994/07/23,1368.360000,1368.360000,1364.040000,1364.040000,-0.320000,-4.320000,1368.360000,164607,28486901
1994/07/24,1364.040000,1367.230000,1364.040000,1367.230000,0.230000,3.190000,1364.040000,209561,37043481
1994/07/25,1367.230000,1370.570000,1367.230000,1370.570000,0.240000,3.340000,1367.230000,335997,53537140
1994/07/26,1370.570000,1374.280000,1370.570000,1374.280000,0.270000,3.710000,1370.570000,278666,51452173
1994/07/27,1374.280000,1378.570000,1374.280000,1378.570000,0.310000,4.290000,1374.280000,357607,55406544
1994/07/28,1378.570000,1380.910000,1378.570000,1380.910000,0.170000,2.340000,1378.570000,210282,31549186
1994/07/30,1380.910000,1395.950000,1380.910000,1395.950000,1.080000,15.040000,1380.910000,384680,66173709
1994/07/31,1395.950000,1395.950000,1393.380000,1393.380000,-0.180000,-2.570000,1395.950000,334525,46749366
1994/08/01,1393.380000,1393.380000,1392.240000,1392.240000,-0.080000,-1.140000,1393.380000,471223,66551986
1994/08/02,1392.240000,1392.240000,1390.940000,1390.940000,-0.090000,-1.300000,1392.240000,422586,62115088
1994/08/03,1390.940000,1391.990000,1390.940000,1391.990000,0.080000,1.050000,1390.940000,855280,130482868
1994/08/04,1391.990000,1391.990000,1389.580000,1389.580000,-0.170000,-2.410000,1391.990000,202171,27357257
1994/08/06,1389.580000,1389.580000,1389.010000,1389.010000,-0.040000,-0.570000,1389.580000,297815,60683039
1994/08/07,1389.010000,1390.300000,1389.010000,1390.300000,0.090000,1.290000,1389.010000,260459,41013192
1994/08/08,1390.300000,1392.210000,1390.300000,1392.210000,0.140000,1.910000,1390.300000,230426,35413298
1994/08/09,1392.210000,1392.210000,1391.090000,1391.090000,-0.080000,-1.120000,1392.210000,340848,50999212
1994/08/10,1391.090000,1394.330000,1391.090000,1394.330000,0.230000,3.240000,1391.090000,541561,65386305
1994/08/11,1394.330000,1401.680000,1394.330000,1401.680000,0.520000,7.350000,1394.330000,344060,47301071
1994/08/13,1401.680000,1422.510000,1401.680000,1422.510000,1.460000,20.830000,1401.680000,1063143,163933981
1994/08/14,1422.510000,1422.510000,1418.540000,1418.540000,-0.280000,-3.970000,1422.510000,969171,132673445
1994/08/15,1418.540000,1418.540000,1410.090000,1410.090000,-0.600000,-8.450000,1418.540000,545889,83222170
1994/08/16,1410.090000,1410.090000,1408.880000,1408.880000,-0.090000,-1.210000,1410.090000,504387,73490517
1994/08/17,1408.880000,1408.880000,1394.670000,1394.670000,-1.020000,-14.210000,1408.880000,678560,106955323
1994/08/18,1394.670000,1404.120000,1394.670000,1404.120000,0.670000,9.450000,1394.670000,591208,73743576
1994/08/20,1404.120000,1411.320000,1404.120000,1411.320000,0.510000,7.200000,1404.120000,1590450,175809859
1994/08/21,1411.320000,1413.200000,1411.320000,1413.200000,0.130000,1.880000,1411.320000,1273814,163177476
1994/08/22,1413.200000,1413.200000,1412.350000,1412.350000,-0.060000,-0.850000,1413.200000,815174,110019022
1994/08/23,1412.350000,1412.350000,1411.470000,1411.470000,-0.060000,-0.880000,1412.350000,650862,88110431
1994/08/24,1411.470000,1411.470000,1404.650000,1404.650000,-0.490000,-6.820000,1411.470000,649765,94247812
1994/08/25,1404.650000,1405.230000,1404.650000,1405.230000,0.040000,0.580000,1404.650000,283704,44280291
1994/08/27,1405.230000,1406.650000,1405.230000,1406.650000,0.100000,1.420000,1405.230000,561309,87757128
1994/08/28,1406.650000,1410.660000,1406.650000,1410.660000,0.280000,4.010000,1406.650000,1346918,184366194
1994/08/29,1410.660000,1411.520000,1410.660000,1411.520000,0.060000,0.860000,1410.660000,1110598,154370914
1994/08/30,1411.520000,1422.830000,1411.520000,1422.830000,0.790000,11.310000,1411.520000,2126774,295158697
1994/08/31,1422.830000,1425.150000,1422.830000,1425.150000,0.160000,2.320000,1422.830000,1923819,271213648
1994/09/01,1425.150000,1425.150000,1418.900000,1418.900000,-0.440000,-6.250000,1425.150000,732788,98078936
1994/09/03,1418.900000,1418.900000,1416.310000,1416.310000,-0.180000,-2.590000,1418.900000,1592298,218382250
1994/09/04,1416.310000,1416.310000,1415.330000,1415.330000,-0.070000,-0.980000,1416.310000,567133,73805020
1994/09/05,1415.330000,1428.510000,1415.330000,1428.510000,0.920000,13.180000,1415.330000,1081973,145943382
1994/09/06,1428.510000,1437.990000,1428.510000,1437.990000,0.660000,9.480000,1428.510000,1114797,136375615
1994/09/07,1437.990000,1437.990000,1435.950000,1435.950000,-0.140000,-2.040000,1437.990000,981298,138839440
1994/09/08,1435.950000,1435.950000,1435.320000,1435.320000,-0.040000,-0.630000,1435.950000,313488,49102164
1994/09/10,1435.320000,1438.560000,1435.320000,1438.560000,0.230000,3.240000,1435.320000,1139007,179597793
1994/09/11,1438.560000,1446.170000,1438.560000,1446.170000,0.530000,7.610000,1438.560000,1299844,208119726
1994/09/12,1446.170000,1458.320000,1446.170000,1458.320000,0.830000,12.150000,1446.170000,1733794,306871702
1994/09/13,1458.320000,1458.320000,1453.520000,1453.520000,-0.330000,-4.800000,1458.320000,1305892,206012050
1994/09/14,1453.520000,1453.520000,1451.060000,1451.060000,-0.170000,-2.460000,1453.520000,1402525,220908852
1994/09/15,1451.060000,1451.560000,1451.060000,1451.560000,0.030000,0.500000,1451.060000,762324,98625345
1994/09/17,1451.560000,1451.630000,1451.560000,1451.630000,0.000000,0.070000,1451.560000,1464118,194475544
1994/09/18,1451.630000,1453.080000,1451.630000,1453.080000,0.100000,1.450000,1451.630000,1566316,214273253
1994/09/19,1453.080000,1461.000000,1453.080000,1461.000000,0.540000,7.920000,1453.080000,1534472,188917081
1994/09/20,1461.000000,1468.100000,1461.000000,1468.100000,0.480000,7.100000,1461.000000,1465035,194284554
1994/09/21,1468.100000,1468.100000,1463.670000,1463.670000,-0.300000,-4.430000,1468.100000,1284121,169218453
1994/09/22,1463.670000,1463.670000,1460.110000,1460.110000,-0.240000,-3.560000,1463.670000,550616,77801941
1994/09/24,1460.110000,1460.110000,1451.090000,1451.090000,-0.620000,-9.020000,1460.110000,1024646,143293132
1994/09/25,1451.090000,1451.090000,1446.460000,1446.460000,-0.320000,-4.630000,1451.090000,660568,87887862
1994/09/26,1446.460000,1451.980000,1446.460000,1451.980000,0.380000,5.520000,1446.460000,1104089,162876638
1994/09/27,1451.980000,1451.980000,1450.310000,1450.310000,-0.120000,-1.670000,1451.980000,676330,96823095
1994/09/28,1450.310000,1450.310000,1447.440000,1447.440000,-0.200000,-2.870000,1450.310000,747519,118932305
1994/10/01,1447.440000,1457.890000,1447.440000,1457.890000,0.720000,10.450000,1447.440000,414576,79256802
1994/10/02,1457.890000,1462.540000,1457.890000,1462.540000,0.320000,4.650000,1457.890000,516456,94791225
1994/10/03,1462.540000,1475.600000,1462.540000,1475.600000,0.890000,13.060000,1462.540000,856419,163071361
1994/10/04,1475.600000,1475.600000,1466.060000,1466.060000,-0.650000,-9.540000,1475.600000,727501,123241456
1994/10/05,1466.060000,1466.060000,1458.230000,1458.230000,-0.540000,-7.830000,1466.060000,807884,122582374
